Ticker,P/E (TTM),Current Price (USD),52-Week High (USD),Price/52-Week High
CRWV,N/A,26.49,34.00,0.78
NBIS,N/A,2.16,14.97,0.14
CRDO,N/A,14.47,20.00,0.72
ALAB,N/A,53.53,88.47,0.60
RDDT,N/A,65.11,74.90,0.87
IONQ,N/A,10.42,21.60,0.48
MU,N/A,117.13,118.98,0.98
WDC,29.96,65.91,69.52,0.95
FIG,N/A,2.37,3.16,0.75
RBRK,N/A,16.85,19.24,0.88
SMCI,72.07,1000.14,1229.00,0.81
KSPI,30.32,87.62,100.90,0.87
APH,38.65,134.11,136.21,0.98
DUOL,N/A,215.10,245.91,0.87
CYBR,N/A,246.61,263.30,0.94
STX,N/A,94.20,99.96,0.94
AFRM,N/A,37.33,52.34,0.71
SAIL,N/A,62.24,63.95,0.97
MRVL,N/A,70.92,85.64,0.83
MELI,73.19,1551.48,1823.50,0.85
RMBS,37.16,60.19,76.65,0.79
MPWR,56.88,676.85,739.05,0.92
SE,N/A,55.33,68.96,0.80
IOT,N/A,37.10,43.20,0.86
SHOP,822.06,75.63,87.65,0.86
SNOW,N/A,156.41,237.72,0.66
RBLX,N/A,36.03,47.20,0.76
NET,N/A,98.67,116.00,0.85
TTAN,5.29,20.72,39.38,0.53
VRT,45.89,82.14,89.58,0.92
TOST,N/A,23.36,27.02,0.86
DDOG,N/A,120.79,139.14,0.87
ANET,42.53,293.73,319.46,0.92
YMM,15.77,5.65,6.67,0.85
KLAC,29.46,700.72,729.00,0.96
DASH,N/A,135.09,137.98,0.98
EXPD,26.04,129.86,138.80,0.94
LRCX,30.93,959.04,988.31,0.97
CRWD,N/A,312.30,365.00,0.86
ZS,N/A,194.29,261.26,0.74
BE,N/A,2.44,7.86,0.31
BILI,N/A,10.60,20.07,0.53
GWRE,N/A,99.78,103.58,0.96
CDNS,73.45,304.57,327.97,0.93
MDB,N/A,358.33,506.66,0.71
NOW,93.47,757.06,815.32,0.93
CLS,N/A,19.34,22.86,0.85
PDD,26.12,120.47,152.80,0.79
TEAM,N/A,197.64,260.67,0.76
APPF,N/A,11.83,16.27,0.73
HUBS,N/A,625.59,693.84,0.90
GRAB,N/A,3.31,3.87,0.86
DT,N/A,46.09,51.81,0.89
CPNG,69.50,18.07,19.82,0.91
FN,25.92,49.25,51.84,0.95
NTNX,N/A,61.94,66.15,0.94
ARM,N/A,130.60,164.00,0.80
PINS,N/A,34.02,41.48,0.82
FICO,60.67,1286.07,1364.57,0.94
PCOR,N/A,86.27,99.30,0.87
QCOM,24.64,171.19,173.12,0.99
INTU,66.82,649.33,677.37,0.96
FSLR,20.73,158.46,232.00,0.68
Z,N/A,35.43,57.75,0.61
NVT,29.59,77.82,79.16,0.98
PANW,N/A,286.04,380.84,0.75
SPOT,N/A,265.48,274.96,0.97
ZTO,14.62,19.98,27.18,0.74
GLW,27.05,31.86,34.93,0.91
JD,12.26,27.20,41.97,0.65
FTNT,44.97,67.45,81.25,0.83
BZ,10.68,1.40,2.15,0.65
