Ticker,P/E (TTM),Current Price (USD),52-Week High (USD),Price/52-Week High
SOUN,N/A,14.69,24.98,0.59
EOSE,N/A,1.41,5.53,0.25
QBTS,N/A,4.96,8.74,0.57
ARX,N/A,15.70,19.38,0.81
CHYM,N/A,3.31,10.15,0.33
VFS,N/A,4.92,93.00,0.05
CALM,13.62,60.85,62.15,0.98
LGN,N/A,0.38,6.17,0.06
FA,41.92,14.21,16.59,0.86
SITM,N/A,26.98,28.82,0.94
AMBA,N/A,62.82,102.50,0.61
AMTM,N/A,0.53,1.99,0.27
PAY,N/A,7.31,9.08,0.81
TAL,42.53,10.08,10.66,0.95
DAVE,N/A,42.00,72.96,0.58
CBZ,25.99,69.14,69.58,0.99
NVMI,16.94,117.94,149.77,0.79
NN,N/A,3.46,4.60,0.75
ZETA,N/A,12.23,13.25,0.92
ROAD,N/A,26.15,31.97,0.82
LCID,N/A,2.71,8.37,0.32
CWAN,32.25,32.57,36.56,0.89
VIA,N/A,8.51,13.00,0.65
RELY,N/A,17.41,20.00,0.87
MTSI,46.50,111.13,119.50,0.93
GLBE,81.43,39.09,69.41,0.56
KVYO,N/A,14.40,24.57,0.59
RUM,N/A,10.62,17.75,0.60
LIF,15.74,27.09,30.34,0.89
SLAB,N/A,126.31,208.66,0.61
ALKT,N/A,7.52,38.25,0.20
AGX,N/A,7.18,17.96,0.40
GTLB,N/A,57.70,73.00,0.79
GRND,N/A,4.71,5.20,0.91
CAMT,41.56,110.16,117.84,0.93
BULL,N/A,1.80,3.60,0.50
ODD,17.90,9.93,12.44,0.80
GENI,N/A,5.32,8.20,0.65
S,N/A,26.19,32.97,0.79
PSNY,N/A,1.64,6.68,0.25
OS,N/A,13.28,14.39,0.92
PGY,N/A,2.15,9.45,0.23
AVPT,N/A,6.72,10.37,0.65
FOUR,N/A,33.02,36.00,0.92
CFLT,N/A,30.68,40.19,0.76
SMTC,19.29,66.33,70.57,0.94
BRZE,N/A,57.38,65.25,0.88
DLO,48.24,12.06,17.45,0.69
FROG,N/A,1.21,6.56,0.18
ECG,N/A,14.49,14.88,0.97
IDCC,15.02,108.61,114.71,0.95
CVLT,N/A,101.99,103.52,0.98
VITL,N/A,4.74,5.98,0.79
COMM,N/A,114.28,155.60,0.73
SPSC,N/A,9.94,27.18,0.37
CLBT,N/A,4.19,10.16,0.41
KC,N/A,2.94,7.40,0.40
LYFT,N/A,18.89,20.82,0.91
YOU,19.25,3.99,5.78,0.69
FRSH,N/A,13.44,15.70,0.86
STNE,12.48,15.72,19.06,0.82
GPI,13.65,110.55,129.56,0.85
MIAX,36.72,99.14,103.25,0.96
APPF,N/A,11.83,16.27,0.73
SRAD,28.77,21.58,26.25,0.82
WK,N/A,7.31,16.50,0.44
AGYS,N/A,58.38,81.49,0.72
LRN,17.72,55.42,56.51,0.98
IESC,25.99,114.11,119.50,0.95
BIRK,N/A,46.12,60.20,0.77
MQ,N/A,7.84,10.59,0.74
ESTC,N/A,110.11,130.42,0.84
INTA,N/A,24.18,34.20,0.71
DV,34.78,44.75,45.41,0.99
ZK,20.08,12.89,17.80,0.72
PRDO,24.84,33.04,36.70,0.90
ONTO,41.97,185.95,199.64,0.93
PRIM,13.11,36.46,36.99,0.99
VERX,N/A,24.22,29.97,0.81
PAGS,9.75,10.34,13.48,0.77
AI,N/A,28.87,49.23,0.59
POWL,14.65,127.19,135.00,0.94
VRNS,N/A,42.84,49.33,0.87
TTMI,15.82,15.34,17.38,0.88
EVCM,N/A,2.44,3.22,0.76
