No.,Symbol,Company Name,Market Cap,Stock Price,Revenue,Rev. Growth,Net Income,Sector,Industry,Net Cash,FCF,Volume
1,BLSH,Bullish,7.51B,51.36,250.11B,18824.97%,-369.04M,Financials,Capital Markets,-363.99M,38.37M,"3,858,152"
2,IBRX,"ImmunityBio, Inc.",2.66B,2.81,56.60M,4227.22%,-367.09M,Healthcare,Biotechnology,-689.01M,-356.66M,"10,709,862"
3,MDGL,"Madrigal Pharmaceuticals, Inc.",9.52B,427.05,515.55M,3421.98%,-281.90M,Healthcare,Biotechnology,673.08M,-308.39M,242779
4,ARWR,"Arrowhead Pharmaceuticals, Inc.",4.07B,29.42,572.98M,2816.21%,-148.42M,Healthcare,Biotechnology,184.89M,-17.62M,"1,991,730"
5,CYTK,"Cytokinetics, Incorporated",5.95B,49.76,85.74M,2635.74%,-606.31M,Healthcare,Biotechnology,-133.62M,-438.72M,"1,978,084"
6,NAMS,NewAmsterdam Pharma Company N.V.,2.76B,24.52,64.01M,762.15%,-165.72M,Healthcare,Biotechnology,783.01M,-124.30M,512920
7,MDU,"MDU Resources Group, Inc.",3.24B,15.87,1.85B,761.55%,215.52M,Industrials,Conglomerates,-2.12B,65.77M,"1,621,751"
8,TARS,"Tarsus Pharmaceuticals, Inc.",2.14B,50.6,295.52M,254.45%,-91.99M,Healthcare,Biotechnology,308.70M,-82.82M,665573
9,IREN,IREN Limited,9.91B,36.45,501.02M,167.65%,86.94M,Financials,Capital Markets,-399.71M,-1.13B,"35,496,281"
10,BANC,"Banc of California, Inc.",2.59B,16.41,949.66M,150.32%,107.93M,Financials,Banks - Regional,-660.13M,201.98M,"1,898,889"
11,SOUN,"SoundHound AI, Inc.",5.99B,14.69,131.45M,136.97%,-225.44M,Technology,Software - Application,225.95M,-112.78M,"66,405,881"
12,EOSE,"Eos Energy Enterprises, Inc.",2.31B,8.29,33.80M,128.49%,-1.02B,Industrials,Electrical Equipment & Parts,-328.12M,-217.00M,"11,202,355"
13,QBTS,D-Wave Quantum Inc.,6.49B,18.98,22.28M,120.20%,-281.54M,Technology,Computer Hardware,779.33M,-53.06M,"39,600,001"
14,CNTA,Centessa Pharmaceuticals plc,2.86B,21.33,15.00M,118.88%,-230.37M,Healthcare,Biotechnology,132.58M,-144.05M,"1,158,946"
15,ORLA,Orla Mining Ltd.,4.15B,11.51,596.49M,116.84%,25.61M,Materials,Gold,-181.84M,547.54M,"3,924,573"
16,KRYS,"Krystal Biotech, Inc.",4.47B,154.38,359.21M,116.08%,146.73M,Healthcare,Biotechnology,811.11M,185.44M,385570
17,ARX,Accelerant Holdings,3.73B,16.95,690.00M,112.83%,44.40M,Technology,Software - Application,1.33B,-,"1,032,572"
18,INOD,Innodata Inc.,2.10B,65.89,228.14M,112.54%,42.69M,Technology,Information Technology Services,55.57M,36.07M,"3,526,718"
19,ETOR,eToro Group Ltd.,3.64B,43.43,13.13B,109.55%,187.82M,Financials,Capital Markets,936.61M,294.50M,499373
20,CAI,"Caris Life Sciences, Inc.",9.47B,33.66,533.85M,106.53%,-798.58M,Healthcare,Biotechnology,302.20M,-140.59M,324611
21,ARQT,"Arcutis Biotherapeutics, Inc.",2.03B,16.97,263.47M,99.50%,-93.27M,Healthcare,Biotechnology,80.66M,-66.32M,"2,079,473"
22,PTCT,"PTC Therapeutics, Inc.",4.74B,59.69,1.76B,96.00%,629.17M,Healthcare,Biotechnology,-484.34M,697.44M,"1,066,733"
23,LB,LandBridge Company LLC,3.99B,52.13,156.47M,95.04%,65.33M,Energy,Oil & Gas Equipment & Services,-350.70M,-,214068
24,RIOT,"Riot Platforms, Inc.",6.48B,17.52,541.72M,93.46%,-94.84M,Financials,Capital Markets,-551.65M,-980.69M,"53,848,902"
25,SEZL,Sezzle Inc.,3.02B,88.83,371.79M,92.95%,104.58M,Financials,Credit Services,-42.44M,28.73M,519637
26,CHYM,"Chime Financial, Inc.",8.55B,22.99,1.94B,92.70%,-935.78M,Technology,Software - Application,1.12B,-12.26M,"3,795,793"
27,PFS,"Provident Financial Services, Inc.",2.56B,19.62,823.47M,92.62%,230.94M,Financials,Banks - Regional,-2.58B,578.61M,681179
