Ticker,Average Annual Revenue Growth,Most Recent Year Revenue
GRAB,0.884579876,2359000000
TOST,0.508496023,3865000000
UBER,0.497882759,37281000000
KSPI,0.458532567,1.89029E+12
MELI,0.432066792,14473000000
CFLT,0.41833892,776952000
MDB,0.390117628,1683011000
PCOR,0.359012542,950010000
YMM,0.349375015,8436159000
DASH,0.32923979,8635000000
OKTA,0.323603544,2263000000
AFRM,0.31988097,2322999000
CART,0.291711143,3042000000
PCTY,0.28581093,1402515000
PAYC,0.267222352,1693674000
DT,0.240627664,1430530000
PSN,0.221680418,5442749000
TWLO,0.216024016,4153945000
DAY,0.215703542,1513700000
ESTC,0.212560468,1267321000
WDAY,0.18868332,7259000000
SPOT,0.171293021,13247000000
GEN,0.167924777,3812000000
NTNX,0.165967923,2148816000
CPAY,0.152932865,3757719000
ADSK,0.149193404,
DOCU,0.145859123,2761882000
INTU,0.13122434,16285000000
ROP,0.130671207,6177800000
EPAM,0.12799578,4690540000
SQ,0.121362979,21915623000
IT,0.117722315,5906956000
CHWY,0.115041031,11147720000
NICE,0.112681795,2377508000
WIX,0.109167629,1561665000
PTC,0.090361758,2298472000
PINS,0.088597503,3055071000
GIB,0.086062735,14296360000
FI,0.084786254,19093000000
PAYX,0.069950768,5278300000
WIT,0.068011248,8.97603E+11
INFY,0.067882607,18562000000
JKHY,0.067866833,2215543000
BR,0.067595426,6506800000
ADP,0.064369221,18177900000
LDOS,0.060176923,15438000000
SNAP,0.059340743,4606115000
GDDY,0.056009827,4254100000
CHKP,0.055834351,2414700000
ZM,0.051026324,4527224000
AKAM,0.049448585,3811920000
SSNC,0.043768324,5502800000
FIS,0.025592244,9821000000
CTSH,0.022952273,19353000000
FFIV,0.022284651,2816120000
CDW,0.020357586,21376000000
EBAY,-0.013808678,10112000000
Z,-0.044126468,1945000000
