No.,Symbol,Company Name,Market Cap,Stock Price,Revenue,Rev. Growth,Net Income,Sector,Industry,Net Cash,FCF,Volume
1,BLSH,Bullish,7.29B,49.85,250.11B,18824.97%,-369.04M,Financials,Capital Markets,-363.99M,38.37M,"2,248,027"
2,IBRX,"ImmunityBio, Inc.",2.67B,2.82,56.60M,4227.22%,-367.09M,Healthcare,Biotechnology,-689.01M,-356.66M,"5,143,892"
3,MDGL,"Madrigal Pharmaceuticals, Inc.",9.46B,424.27,515.55M,3421.98%,-281.90M,Healthcare,Biotechnology,673.08M,-308.39M,"46,671"
4,ARWR,"Arrowhead Pharmaceuticals, Inc.",3.98B,28.81,572.98M,2816.21%,-148.42M,Healthcare,Biotechnology,184.89M,-17.62M,"544,746"
5,CYTK,"Cytokinetics, Incorporated",5.98B,50,85.74M,2635.74%,-606.31M,Healthcare,Biotechnology,-133.62M,-438.72M,"320,305"
6,NAMS,NewAmsterdam Pharma Company N.V.,2.72B,24.11,64.01M,762.15%,-165.72M,Healthcare,Biotechnology,783.01M,-124.30M,"99,863"
7,MDU,"MDU Resources Group, Inc.",3.28B,16.05,1.85B,761.55%,215.52M,Industrials,Conglomerates,-2.12B,65.77M,"261,519"
8,TARS,"Tarsus Pharmaceuticals, Inc.",2.08B,49.33,295.52M,254.45%,-91.99M,Healthcare,Biotechnology,308.70M,-82.82M,"222,586"
9,IREN,IREN Limited,9.95B,36.59,501.02M,167.65%,86.94M,Financials,Capital Markets,-399.71M,-1.13B,"20,460,650"
10,BANC,"Banc of California, Inc.",2.56B,16.24,949.66M,150.32%,107.93M,Financials,Banks - Regional,-660.13M,201.98M,"626,326"
163,CAAP,Corporación América Airports S.A.,3.13B,19.18,1.87B,26.88%,151.36M,Industrials,Airports & Air Services,-554.54M,328.15M,"38,848"
240,GPI,"Group 1 Automotive, Inc.",5.72B,451.19,21.98B,19.75%,473.20M,Consumer Discretionary,Auto & Truck Dealerships,-5.41B,750.00M,"37,467"
31,VFS,VinFast Auto Ltd.,7.50B,3.205,2.36B,86.03%,-3.13B,Consumer Discretionary,Auto Manufacturers,-5.67B,-2.09B,"399,812"
14,CNTA,Centessa Pharmaceuticals plc,2.86B,21.35,15.00M,118.88%,-230.37M,Healthcare,Biotechnology,132.58M,-144.05M,"174,129"
15,ORLA,Orla Mining Ltd.,4.15B,12.03,596.49M,116.84%,25.61M,Materials,Gold,-181.84M,547.54M,"1,602,422"
16,KRYS,"Krystal Biotech, Inc.",4.46B,154.03,359.21M,116.08%,146.73M,Healthcare,Biotechnology,811.11M,185.44M,"90,716"
105,LCID,"Lucid Group, Inc.",6.14B,20,928.99M,39.01%,-3.06B,Consumer Discretionary,Auto Manufacturers,84.93M,-3.05B,"3,265,059"
180,PSNY,Polestar Automotive Holding UK PLC,2.25B,0.973,2.55B,24.82%,-2.70B,Consumer Discretionary,Auto Manufacturers,-4.93B,-1.37B,"896,233"
19,ETOR,eToro Group Ltd.,3.60B,43.02,13.13B,109.55%,187.82M,Financials,Capital Markets,936.61M,294.50M,"163,561"
20,CAI,"Caris Life Sciences, Inc.",9.45B,33.62,533.85M,106.53%,-798.58M,Healthcare,Biotechnology,302.20M,-140.59M,"130,731"
21,ARQT,"Arcutis Biotherapeutics, Inc.",2.04B,17.02,263.47M,99.50%,-93.27M,Healthcare,Biotechnology,80.66M,-66.32M,"286,216"
22,PTCT,"PTC Therapeutics, Inc.",4.69B,59.06,1.76B,96.00%,629.17M,Healthcare,Biotechnology,-484.34M,697.44M,"212,842"
23,LB,LandBridge Company LLC,3.98B,51.97,156.47M,95.04%,65.33M,Energy,Oil & Gas Equipment & Services,-350.70M,-,"48,300"
24,RIOT,"Riot Platforms, Inc.",6.29B,17.03,541.72M,93.46%,-94.84M,Financials,Capital Markets,-551.65M,-980.69M,"15,168,540"
25,SEZL,Sezzle Inc.,2.99B,87.75,371.79M,92.95%,104.58M,Financials,Credit Services,-42.44M,28.73M,"161,440"
281,ZK,ZEEKR Intelligent Technology Holding Limited,7.66B,29.89,10.60B,16.47%,-1.42B,Consumer Discretionary,Auto Manufacturers,-1.43B,-,"236,964"
